snapped_at,price,market_cap,total_volume
2018-07-03 00:00:00 UTC,2.918393759402401,0.0,3151510.008495871
2018-07-04 00:00:00 UTC,2.031900193598566,0.0,14153411.40494968
2018-07-05 00:00:00 UTC,1.954343794552691,1187242437.5371153,6443184.652506456
2018-07-06 00:00:00 UTC,1.5175044641083701,921867331.6144127,8621315.869190546
2018-07-07 00:00:00 UTC,1.778727491735065,1080557458.15447,16016796.855142808
2018-07-08 00:00:00 UTC,1.8269409932389713,1109846631.94633,5477595.125951789
2018-07-09 00:00:00 UTC,2.336289278153584,1419270133.084103,12677707.560612604
2018-07-10 00:00:00 UTC,2.261304530023381,1373717720.3528595,7146942.339250345
2018-07-11 00:00:00 UTC,2.25736992934483,1371327493.5599287,7551334.862018352
2018-07-12 00:00:00 UTC,2.1163020415939533,1285630297.7142527,6623642.526332148
2018-07-13 00:00:00 UTC,1.8872596988618198,1146489584.5795157,4783564.481482367
2018-07-14 00:00:00 UTC,1.9990167171106972,1214380748.4205458,4732277.516863765
2018-07-15 00:00:00 UTC,2.004686278358322,1217824944.7457561,3374959.16753814
2018-07-16 00:00:00 UTC,2.2234899073504963,1350745751.489532,4162529.396249617
2018-07-17 00:00:00 UTC,2.3706827418111045,1440163785.3380785,4487833.714955893
2018-07-18 00:00:00 UTC,2.481017660780218,1507191039.451438,4930689.600881759
2018-07-19 00:00:00 UTC,2.3523879030232084,1429049871.26757,4079461.4322312963
2018-07-20 00:00:00 UTC,2.295552083144758,1394522733.5551612,3899412.3259514533
2018-07-21 00:00:00 UTC,2.072251115064236,1258869842.6015532,3327009.4944649707
2018-07-22 00:00:00 UTC,2.1778486655298646,1323019197.2658672,2442337.2615755294
2018-07-23 00:00:00 UTC,2.206719154182557,1340557702.7306929,1933331.8397975562
2018-07-24 00:00:00 UTC,2.202916657561785,1338247727.7051342,2738228.0330880624
2018-07-25 00:00:00 UTC,2.155444152171215,1309408700.9315493,3874656.2696236563
2018-07-26 00:00:00 UTC,2.1091680711014695,1281296488.8212516,4430792.732221461
2018-07-27 00:00:00 UTC,2.0484319554825325,1244399964.1898382,2699170.9950042046
2018-07-28 00:00:00 UTC,2.1019500938908866,1276911646.7676346,1677740.5926610339
2018-07-29 00:00:00 UTC,2.094440223465613,1272349482.784951,1958863.2844929306
2018-07-30 00:00:00 UTC,2.094951823768297,1272660274.3622038,1936107.4560412061
2018-07-31 00:00:00 UTC,2.119878658829152,1287803053.488488,3453801.155030273
2018-08-01 00:00:00 UTC,1.930493751837276,1172753797.9601188,3506431.5693477937
2018-08-02 00:00:00 UTC,1.8739178944042363,1138384584.5843687,2964966.2532321024
2018-08-03 00:00:00 UTC,1.7143228300909943,1041432332.0163841,3164992.6621119874
2018-08-04 00:00:00 UTC,1.8351466998877997,1114831508.8091543,4141782.8093214035
2018-08-05 00:00:00 UTC,1.8793029238924477,1141655930.983919,2801326.591210547
2018-08-06 00:00:00 UTC,1.84504179332318,1120842669.6308188,2096985.3641522806
2018-08-07 00:00:00 UTC,1.8135122383556286,1101688810.5204241,2453524.3517056108
2018-08-08 00:00:00 UTC,1.77334616510492,1077288361.2006156,2933340.585618064
2018-08-09 00:00:00 UTC,1.5943027560388114,968521452.3296745,2800458.1566377254
2018-08-10 00:00:00 UTC,1.667250213080693,1012836233.051436,1803549.5959863665
2018-08-11 00:00:00 UTC,1.568888613757226,953082639.4071966,2689540.59942578
2018-08-12 00:00:00 UTC,1.5394011669051855,935169338.5975121,2549868.2209687834
2018-08-13 00:00:00 UTC,1.5178393252838238,922070756.1087573,2598400.2677086093
2018-08-14 00:00:00 UTC,1.346683535427766,818095489.4675031,3067218.543338354
2018-08-15 00:00:00 UTC,1.3029197741404492,791509484.0925181,3415600.6845969753
2018-08-16 00:00:00 UTC,1.442419107864253,902803343.4873542,1688869.0963363543
2018-08-17 00:00:00 UTC,1.3739091887443673,836029077.306491,2141615.107340731
2018-08-18 00:00:00 UTC,1.475190293061839,896161936.4246455,2114894.2439534226
2018-08-19 00:00:00 UTC,1.3852611082109734,839934915.2787464,2082557.6217038138
2018-08-20 00:00:00 UTC,1.3956317621389873,849001716.8720704,1616099.4539929945
2018-08-21 00:00:00 UTC,1.4758671130915018,896573097.1753951,5702243.0164831355
