snapped_at,price,market_cap,total_volume
2017-10-18 00:00:00 UTC,0.026330595000302544,682675193.8803542,2306584.6943109827
2017-10-19 00:00:00 UTC,0.026184958456532577,678899264.9371197,2747479.620090814
2017-10-20 00:00:00 UTC,0.029819508955756302,773132512.1044164,8742714.451077357
2017-10-21 00:00:00 UTC,0.02813398579231959,729431834.1525598,5224552.269252287
2017-10-22 00:00:00 UTC,0.027417039423973624,710843515.0884911,2862309.0411613677
2017-10-23 00:00:00 UTC,0.02564822421399121,664983318.3705897,3451711.9197217547
2017-10-24 00:00:00 UTC,0.027168672351011065,704404084.4684741,7751432.753429254
2017-10-25 00:00:00 UTC,0.026969911913113986,699250808.5749528,2486286.676229444
2017-10-26 00:00:00 UTC,0.026531915431128473,687894842.8911186,2364099.893062202
2017-10-27 00:00:00 UTC,0.026455276769698572,685907826.9102877,2564366.0300878943
2017-10-28 00:00:00 UTC,0.025923161120370512,672111626.9357854,1726428.8232051723
2017-10-29 00:00:00 UTC,0.028297259308902527,733665038.1339929,4627207.186222394
2017-10-30 00:00:00 UTC,0.028247227333853077,732367855.5877304,3776280.162402217
2017-10-31 00:00:00 UTC,0.030180519491121306,782492457.719786,7234499.394475298
2017-11-01 00:00:00 UTC,0.023156363095884896,600376659.3905478,7921658.721940879
2017-11-02 00:00:00 UTC,0.021308104921043947,552456739.3190113,5951767.523720261
2017-11-03 00:00:00 UTC,0.022806517972791672,591306200.2067344,3031361.553206059
2017-11-04 00:00:00 UTC,0.021815160165596616,565603196.4111912,2457326.349270033
2017-11-05 00:00:00 UTC,0.02203732897232538,571363382.7345911,2246956.43284402
2017-11-06 00:00:00 UTC,0.022254697584603793,576999114.0778807,4833008.96650785
2017-11-07 00:00:00 UTC,0.02224956067599799,576865929.0861107,2522732.3451936548
2017-11-08 00:00:00 UTC,0.02514763080941465,652004397.8592757,6534701.387225342
2017-11-09 00:00:00 UTC,0.032575827338656126,844595773.2430462,20506227.480641488
2017-11-10 00:00:00 UTC,0.027184689363686718,704819358.6859239,6537625.959660133
2017-11-11 00:00:00 UTC,0.027389349601687943,710125599.1129055,5609778.303766819
2017-11-12 00:00:00 UTC,0.024433691744343095,633494049.3593317,7523660.143138042
2017-11-13 00:00:00 UTC,0.02502794446359766,648901281.528843,4269755.909309574
2017-11-14 00:00:00 UTC,0.0259521212294083,672862477.725596,3149957.92907688
2017-11-15 00:00:00 UTC,0.0257209010011418,666867614.557517,6290595.73508287
2017-11-16 00:00:00 UTC,0.0269460739511265,698632760.05302,4796738.09365103
2017-11-17 00:00:00 UTC,0.0256333534711914,664597763.573066,3475892.17501883
2017-11-18 00:00:00 UTC,0.0262376396216093,680265133.220089,2951567.72242052
2017-11-19 00:00:00 UTC,0.0274190497363924,710895636.600375,4602084.85305256
2017-11-20 00:00:00 UTC,0.0298047178472783,772749021.991571,15443475.2705313
2017-11-21 00:00:00 UTC,0.0283501546091529,735036458.314713,5859361.76639812
2017-11-22 00:00:00 UTC,0.0282101003299344,731405261.138265,4823145.51236262
2017-11-23 00:00:00 UTC,0.0274270891691638,711104075.540926,5126695.22973965
2017-11-24 00:00:00 UTC,0.0279347132723011,724265281.469754,5538752.490214
2017-11-25 00:00:00 UTC,0.0299916235973707,777594940.558177,6073175.71570552
2017-11-26 00:00:00 UTC,0.0377611115290725,979035002.207548,30331805.3282054
2017-11-27 00:00:00 UTC,0.0495329887278034,1284245292.70372,80055217.9028363
2017-11-28 00:00:00 UTC,0.118802764811104,3080207663.36691,336341579.935053
2017-11-29 00:00:00 UTC,0.0912027929442142,2364621245.92725,168140429.77911
2017-11-30 00:00:00 UTC,0.122095431831422,3165576873.46085,121622042.801145
2017-12-01 00:00:00 UTC,0.127729667492977,3311656098.8857,53058232.7905933
2017-12-02 00:00:00 UTC,0.132064731081607,3424051598.33483,41506794.3794103
2017-12-03 00:00:00 UTC,0.129290502238516,3352123971.43145,32962126.1408197
2017-12-04 00:00:00 UTC,0.134238695257973,3480416120.88256,72459995.3598127
2017-12-05 00:00:00 UTC,0.129639684058712,3361177233.11426,49488523.5384892
2017-12-06 00:00:00 UTC,0.127695512917079,3310770570.78719,70669092.5734482
2017-12-07 00:00:00 UTC,0.11289550287194,2927049666.38376,62807816.0789847
2017-12-08 00:00:00 UTC,0.118878815704693,3082179440.24948,72000894.0755298
2017-12-09 00:00:00 UTC,0.121117536740586,3140222918.46199,63066310.1056202
2017-12-10 00:00:00 UTC,0.109998396882745,2851936195.04586,44334407.8192595
2017-12-11 00:00:00 UTC,0.119143749867088,3089048406.96581,38741077.012488
2017-12-12 00:00:00 UTC,0.13243237973637,3433583650.94007,61750019.7909889
2017-12-13 00:00:00 UTC,0.132410170398074,3433007827.85948,61977146.2307682
2017-12-14 00:00:00 UTC,0.214580832062367,5563452368.98373,234389582.743664
2017-12-15 00:00:00 UTC,0.215633261086517,5590738770.5291,211623370.678726
2017-12-16 00:00:00 UTC,0.404451008201634,10486229818.809,663810751.631161
2017-12-17 00:00:00 UTC,0.471337237092908,12220393793.2938,585538752.748147
2017-12-18 00:00:00 UTC,0.499704561523118,12955875414.7702,224594078.082424
2017-12-19 00:00:00 UTC,0.539854823343451,13996854085.1052,271979886.560609
2017-12-20 00:00:00 UTC,0.485480895650591,12587097426.3843,182111084.805486
2017-12-21 00:00:00 UTC,0.492191902001698,12761094161.4304,166452769.42196
2017-12-22 00:00:00 UTC,0.410070842100249,10631935648.7102,151242526.631091
2017-12-23 00:00:00 UTC,0.431540940733427,11188592410.4304,89411001.2222383
2017-12-24 00:00:00 UTC,0.402172103185524,10427144487.7069,68582611.218629
2017-12-25 00:00:00 UTC,0.419939985750921,10887813632.2908,124042200.293714
2017-12-26 00:00:00 UTC,0.445160814925615,11541715849.33,96615266.4791453
2017-12-27 00:00:00 UTC,0.42439748730437,11003383589.4904,83472310.4343467
2017-12-28 00:00:00 UTC,0.420393444933759,10899570500.5104,85062007.3748376
2017-12-29 00:00:00 UTC,0.531002860792679,13767348627.6516,281261498.858054
2017-12-30 00:00:00 UTC,0.660749620089782,17131302008.0245,657083489.6559
2017-12-31 00:00:00 UTC,0.747699133138811,19385648166.0914,304224047.777863
2018-01-01 00:00:00 UTC,0.727983743174394,18874485859.7998,146254774.555663
2018-01-02 00:00:00 UTC,0.784407992122578,20337401342.333,281875322.373296
2018-01-03 00:00:00 UTC,1.0508120550053073,27244478272.303337,656803314.5373672
2018-01-04 00:00:00 UTC,1.1490767152060526,29792193048.72066,572777067.6299374
2018-01-05 00:00:00 UTC,1.0504553036654964,27235228755.151535,494551418.95665133
2018-01-06 00:00:00 UTC,1.0660090939010045,27638492971.720814,303403914.3913889
2018-01-07 00:00:00 UTC,1.0262164824009439,26606787126.467506,225890565.40661705
2018-01-08 00:00:00 UTC,0.920506558401537,23866038470.368263,265582875.69246963
2018-01-09 00:00:00 UTC,0.8520599333197489,22091417993.784706,210582739.0559012
2018-01-10 00:00:00 UTC,0.7981901512830395,20694732355.052258,235833440.3373838
2018-01-11 00:00:00 UTC,0.7098920736131618,18405421866.93553,235029152.0169912
2018-01-12 00:00:00 UTC,0.931197310243885,24143218347.489075,387911066.6292809
2018-01-13 00:00:00 UTC,0.9073642380639176,23525296603.94182,313468465.80884254
2018-01-14 00:00:00 UTC,0.815192367806326,21135550022.153854,159533934.9224899
2018-01-15 00:00:00 UTC,0.7921428941579556,20537944693.00878,214832431.7138846
2018-01-16 00:00:00 UTC,0.6121120807576934,15870273094.96667,174897087.84800506
2018-01-17 00:00:00 UTC,0.6268745326502401,16253020226.498558,190144007.41845876
2018-01-18 00:00:00 UTC,0.6438016576848273,16691890991.275846,141693195.2947049
2018-01-19 00:00:00 UTC,0.6415180980244997,16632684978.8848,102588857.68012962
2018-01-20 00:00:00 UTC,0.7066872919499801,18322331266.695335,105862294.76182278
2018-01-21 00:00:00 UTC,0.6048782114268275,15682720054.562634,64895695.87200908
2018-01-22 00:00:00 UTC,0.5592615686040291,14500014138.389189,66193648.45793208
2018-01-23 00:00:00 UTC,0.5405549316520605,14015005842.60674,59930223.769114174
2018-01-24 00:00:00 UTC,0.5914729247231404,15335160240.614025,113819289.89923331
2018-01-25 00:00:00 UTC,0.6023243857722942,15616506836.675795,106919548.63668497
2018-01-26 00:00:00 UTC,0.579448971202026,15023414349.526459,80704707.96894214
2018-01-27 00:00:00 UTC,0.5839892223421281,15141129761.09612,42478187.57019137
2018-01-28 00:00:00 UTC,0.5889066190354537,15268623452.027302,47736483.077662915
2018-01-29 00:00:00 UTC,0.5555023222775481,14402547893.712801,50983843.555396944
2018-01-30 00:05:21 UTC,0.5513693595962953,14295392278.745035,50672796.20233019
