snapped_at,price,market_cap,total_volume
2020-10-01 00:00:00 UTC,0.3852699980859642,22245829.248949736,1522826.0247561857
2020-10-02 00:00:00 UTC,0.3852699980859642,22245829.248949736,1522826.0247561857
2020-10-03 00:00:00 UTC,0.39325339913817575,22063798.276136126,764777.3852039425
2020-10-04 00:00:00 UTC,0.4398659430824557,24672612.596017044,1488168.5635152897
2020-10-05 00:00:00 UTC,0.4898859939842893,28186910.073955588,2059144.4108541973
2020-10-06 00:00:00 UTC,0.5554458512000913,31446193.335351378,5079312.880463931
2020-10-07 00:00:00 UTC,0.41678663340220484,23325888.56069117,1538699.706516657
2020-10-08 00:00:00 UTC,0.43053740469525875,24110531.40859987,640074.4549101568
2020-10-09 00:00:00 UTC,0.4124831283851866,22801674.519292824,336644.4354810285
2020-10-10 00:00:00 UTC,0.40906955671431416,23284186.578883942,597857.9924721175
2020-10-11 00:00:00 UTC,0.4091622757516153,23285154.700951304,535512.5180590643
2020-10-12 00:00:00 UTC,0.43044931757249905,24646387.02643634,417225.522469799
2020-10-13 00:00:00 UTC,0.44003434890395643,24821513.281819507,374799.5671458559
2020-10-14 00:00:00 UTC,0.45759303055587713,25829023.92606304,311334.03116302524
2020-10-15 00:00:00 UTC,0.40286774731775427,22601257.926747594,516350.61536789796
2020-10-16 00:00:00 UTC,0.4142073656410707,23340874.65653385,160864.20843845644
2020-10-17 00:00:00 UTC,0.3913362531505289,22126933.819215987,198367.00796847965
2020-10-18 00:00:00 UTC,0.36951716939611656,20854937.446000285,316806.9798124857
2020-10-19 00:00:00 UTC,0.3781793727066625,21396672.15830045,157424.7850929679
2020-10-20 00:00:00 UTC,0.360283338999135,20122952.540194426,183495.93002441764
2020-10-21 00:00:00 UTC,0.353655930385195,19967537.565680247,123147.67329567921
2020-10-22 00:00:00 UTC,0.3259636271161321,18580042.511134993,322879.68422777444
2020-10-23 00:00:00 UTC,0.3488592709934183,19688966.88385966,300784.1218070295
2020-10-24 00:00:00 UTC,0.32735758993168657,18433353.019446768,104014.2833844229
2020-10-25 00:00:00 UTC,0.32979865317302454,18505113.131389566,115289.68685509081
2020-10-26 00:00:00 UTC,0.3225080294389788,18195123.44258432,92947.1801126132
2020-10-27 00:00:00 UTC,0.31785473125894875,17936500.416189175,129446.4692808659
2020-10-28 00:00:00 UTC,0.3245127758241032,18282134.53610253,98569.81589853285
2020-10-29 00:00:00 UTC,0.30122462669171046,16982455.239388727,45630.4582766577
2020-10-30 00:00:00 UTC,0.2817928978452242,15905611.178427136,108669.84392942315
2020-10-31 00:00:00 UTC,0.260658150445258,14704273.111677311,132266.1166449593
2020-11-01 00:00:00 UTC,0.26267734077291705,14807906.101204857,37424.228549602245
2020-11-02 00:00:00 UTC,0.2590177017863199,14601195.207360776,44938.35022114551
2020-11-03 00:00:00 UTC,0.2565235124654752,14444600.03971772,53493.956507923795
2020-11-04 00:00:00 UTC,0.3311133977829004,18534047.390420508,2529879.972576267
2020-11-05 00:00:00 UTC,0.28120303257940876,15641498.958690893,2919591.9045443977
2020-11-06 00:00:00 UTC,0.26929989925744163,15219219.70130533,598108.622938346
2020-11-07 00:00:00 UTC,0.29132382836667453,16429442.981715757,555669.115339651
2020-11-08 00:00:00 UTC,0.263028452387847,14853466.772585694,172981.0568635524
2020-11-09 00:00:00 UTC,0.27971855681917235,15799636.512347229,143603.17974738684
2020-11-10 00:00:00 UTC,0.3112180631293829,17525958.812762655,803635.4901511953
2020-11-11 00:00:00 UTC,0.3461976990602903,19507967.712079227,438287.4119297586
2020-11-12 00:00:00 UTC,0.3244005027652468,18285444.901904896,248379.61906195583
2020-11-13 00:00:00 UTC,0.34202903571698096,19267323.072791133,189120.04687673485
2020-11-14 00:00:00 UTC,0.34476767291154947,19415924.15049372,237495.6731431559
2020-11-15 00:00:00 UTC,0.3344518981865925,18857050.20553345,197269.41492821972
2020-11-16 00:00:00 UTC,0.32452863262970544,18319197.717049643,281619.4699269358
2020-11-17 00:00:00 UTC,0.31502790621025595,17669706.479460724,223532.31097899668
2020-11-18 00:00:00 UTC,0.3091440073428897,17283815.601540197,251432.39160009476
2020-11-19 00:00:00 UTC,0.29980689420711704,16905253.801427573,188301.0891335577
2020-11-20 00:00:00 UTC,0.325118915976897,18240887.87785951,878605.3553120898
2020-11-21 00:00:00 UTC,0.319679987514961,18019144.243509986,296390.94573423394
2020-11-22 00:00:00 UTC,0.33956718938557334,19175427.44480217,156904.28478807755
2020-11-23 00:00:00 UTC,0.3310899542095858,18795484.940623883,190150.31004017813
2020-11-24 00:00:00 UTC,0.34852553797755165,19612693.052246217,565561.5434589513
2020-11-25 00:00:00 UTC,0.32960861798786373,18618676.201476283,480836.8654493247
2020-11-26 00:00:00 UTC,0.35071108749663077,19720966.23675643,399582.33583501755
2020-11-27 00:00:00 UTC,0.3154822184085661,17819134.04950487,319135.90562244854
2020-11-28 00:00:00 UTC,0.2954830077245783,16640782.396705013,123419.773526803
2020-11-29 00:00:00 UTC,0.3168291640155413,17867280.635937925,130101.74933155018
2020-11-30 00:00:00 UTC,0.3353805723365317,18995268.14369892,599644.4685377656
2020-12-01 00:00:00 UTC,0.3271079797486831,18566619.561938506,260685.22085266584
2020-12-02 00:00:00 UTC,0.31737947920330817,18042909.972216956,349461.52675161604
2020-12-03 00:00:00 UTC,0.34764060503971056,19562580.78527919,331663.3486526283
2020-12-04 00:00:00 UTC,0.3881460613522663,21785563.935772397,474435.4175789563
2020-12-05 00:00:00 UTC,0.34442428353228943,19222686.48908594,675302.5423127126
